season,team_id,team_name,organization_id,franchise_slot_id,nickname,player_key_raw,player_key,player_id,role_raw,role,member_type,observed_at,valid_from,valid_to,temporal_basis,source_url
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,Joshuaa,joshuaa,joshuaa,PLY_JOSHUAA_91193163,Jungle,jungler,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,KARSS,karss,karss,PLY_KARSS_A270C985,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,ZEONN,zeonn,zeonn,PLY_ZEONN_7282E656,Gold Lane,gold_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,HAN,han,han,PLY_HAN_C10688A2,Analyst,analyst,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,JACKLEE,jacklee,jacklee,PLY_JACKLEE_BE021B1B,Asst. Coach,assistant_coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,NAVI,NAVI,NAVI,MPLID_SLOT_AEROWOLF_REBELLION_NAVI,YNOT,ynot,ynot,PLY_YNOT_AED3AF5D,Coach,coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/navi
18,ONIC,ONIC,ONIC,MPLID_SLOT_ONIC,KAIRI,kairi,kairi,PLY_KAIRI_00292A40,Jungle,jungler,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/onic
18,ONIC,ONIC,ONIC,MPLID_SLOT_ONIC,KELRA,kelra,kelra,PLY_KELRA_34B3215B,Gold Lane,gold_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/onic
18,ONIC,ONIC,ONIC,MPLID_SLOT_ONIC,KIBOY,kiboy,kiboy,PLY_KIBOY_812BAD60,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/onic
18,ONIC,ONIC,ONIC,MPLID_SLOT_ONIC,LUTPI,lutpi,lutpi,PLY_LUTPI_97817238,EXP Lane,exp_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/onic
18,ONIC,ONIC,ONIC,MPLID_SLOT_ONIC,SANZ,sanz,sanz,PLY_SANZ_4DBDD712,Mid Lane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/onic
18,ONIC,ONIC,ONIC,MPLID_SLOT_ONIC,SSAMUEL,ssamuel,ssamuel,PLY_SSAMUEL_13DF506B,Roam,roamer,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/onic
18,ONIC,ONIC,ONIC,MPLID_SLOT_ONIC,CW,cw,cw,PLY_CW_57C0C455,Coach,coach,staff,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/onic
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,ARTHUR,arthur,arthur,PLY_ARTHUR_BEFA156F,Gold Lane,gold_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,CLAYYY,clayyy,clayyy,PLY_CLAYYY_E78CBAAF,Mid Lane,mid_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,DEMONKITE,demonkite,demonkite,PLY_DEMONKITE_D9CE0DAD,Jungle,jungler,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
18,RRQ,RRQ Hoshi,RRQ,MPLID_SLOT_RRQ,HABIL,habil,habil,PLY_HABIL_250133B6,Gold Lane,gold_lane,player,2026-09-01,2026-08-31,,first_verified_on_official_page,https://id-mpl.com/en/team/rrq
